ID,Area,Page_or_Component,Requirement,Baseline_or_Enhancement_Rule,Acceptance_Evidence,Priority,Data_Dependency,Status
SVE-UX-15,UX,Theme regression,Prevent visual changes from breaking the approved current theme.,Theme changes require explicit reason and review.,"Before/after visual regression evidence. Current evidence: Theme regression review passed for Package 1 and Package 2; phase-wide regression review remains open. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-SHARED-01,SHARED,Global filter state,Create shared cross-page filter state using Streamlit session state.,Filters should persist logically across compatible pages.,"Filter-state tests and manual navigation test. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-02,SHARED,Date filter,Support date or snapshot-window selection where time exists.,Hide or disable when the source has no valid time grain.,"Date-range calculations verified. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-03,SHARED,Segment filter,Support business segment or cluster selection.,Use canonical segment identifiers and labels.,"Filtered totals reconcile with source. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-04,SHARED,Intent tier filter,"Support high, medium, and low intent tiers where applicable.",Use the same tier rules across pages.,"Cross-page tier counts reconcile. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-05,SHARED,Threshold control,Provide controlled threshold simulation without silently changing production defaults.,Display production threshold separately from simulation threshold.,"Reset and boundary tests pass. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-06,SHARED,Anomaly filter,"Support anomaly flag, severity, and investigation status.",Use shared anomaly definitions.,"Filtered rows reconcile. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-07,SHARED,Cohort filter,"Support relevant customer, score, time, or campaign cohorts.",Only expose cohorts supported by data.,"Cohort definitions documented. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-08,SHARED,Filter summary,Show active-filter chips or a concise summary.,Users must know what data they are viewing.,"Filter state visible and resettable. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-09,SHARED,Cache data,Use st.cache_data for stable transformed tables and chart inputs.,Cache keys must include relevant filters and source timestamps.,"Cache correctness and invalidation tests. Current evidence: Caching exists for completed evidence paths; filter-aware cache correctness and invalidation testing remain open. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-10,SHARED,Cache resources,"Use st.cache_resource for models, explainers, nearest-neighbor indexes, and reusable heavy objects.",Avoid repeated model or SHAP initialization.,"Resource loads once per session/process. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-11,SHARED,Precompute heavy outputs,"Precompute UMAP, SHAP summaries, backtests, drift history, and large aggregation tables.",Do not block page loads with avoidable heavy computation.,"Precompute scripts and manifests verified. Current evidence: Package 1 precomputes validation outputs; UMAP, forecast backtests, drift history, and other later-package outputs remain open. Condition retained: Precompute only artifacts that exist in the approved pipeline; unsupported UMAP/history remains conditional. Evidence available: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks.",P0,Shared Streamlit utilities and verified derived datasets,CONDITIONAL
SVE-SHARED-12,SHARED,Efficient file formats,Prefer Parquet or compact derived tables for large interactive inputs.,Do not repeatedly scan large raw CSV files.,Load-time comparison recorded. Condition retained: Compact CSV evidence is retained where Parquet is not already produced; conversion is not forced during UI closure. Evidence available: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks.,P0,Shared Streamlit utilities and verified derived datasets,CONDITIONAL
SVE-SHARED-13,SHARED,Sampling policy,Use deterministic sampling for dense scatter plots while preserving totals and distribution context.,Show sample size and full-population totals.,"Package 1 uses one deterministic sample with random state 42 and records full/sample row context in the manifest. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-14,SHARED,Lazy rendering,Render expensive sections only when opened or requested.,Avoid computing every tab at initial load.,"Initial page-load timing passes. Current evidence: Progressive disclosure is present, but initial-load timing and explicit lazy-computation evidence remain open. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-15,SHARED,Performance budget,Set page-load and interaction performance targets.,Recommended target: cached initial view <=3 seconds locally; common interactions <=1.5 seconds.,Measured timings recorded; exceptions explained. Condition retained: Cold/warm timing targets are measured at final QA on the user machine and cloud deployment. Evidence available: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks.,P0,Shared Streamlit utilities and verified derived datasets,CONDITIONAL
SVE-SHARED-16,SHARED,Data contracts,"Define source path, grain, key, required columns, refresh rule, and fallback for every visual.",No visual may depend on an undocumented table.,"Data-contract table complete. Current evidence: Data contracts are complete for Package 1 and Package 2; remaining pages are pending. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-17,SHARED,Artifact manifests,"Record generation time, source hashes, row counts, and parameters for precomputed outputs.",Make stale evidence visible.,"Package 1 manifest records source hash, row counts, generation time, parameters, selection rules, outputs, and limitations. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-SHARED-18,SHARED,Download governance,"Exports must contain active filters, timestamp, threshold, source, and column definitions.",Do not export misleading unlabeled files.,"Download test and sample file review. Current evidence: Governed downloads exist, but phase-wide active-filter metadata and the accepted Package 2 export omission remain open. Closure sprint implementation evidence: app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Shared Streamlit utilities and verified derived datasets,VERIFIED
SVE-EXEC-01,EXEC,Executive Overview,"Enhance current KPI cards with context, evidence type, and concise business meaning.",Preserve strong current cards; improve only where decision value increases.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-02,EXEC,Executive Overview,Create an interactive total visitors → scored → eligible → targeted → expected buyers funnel.,Use real counts; simulations must be labeled.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-03,EXEC,Executive Overview,"Simulate target size, contact cost, expected buyers, value, and uplift assumptions.",Keep assumptions editable and explicit.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-04,EXEC,Executive Overview,Show audience reduction versus buyer capture and campaign efficiency.,Reuse verified threshold/campaign evidence where possible.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-05,EXEC,Executive Overview,"Show composition of the selected target audience by segment, intent tier, and anomaly status.",Avoid pie charts when categories are numerous.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-06,EXEC,Executive Overview,"Show champion, threshold, validation/holdout evidence, and probability reliability at executive level.",Do not present live production metrics without matured labels.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-07,EXEC,Executive Overview,Show a compact forward KPI outlook with uncertainty and scenario context.,Link to full forecasting page.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-08,EXEC,Executive Overview,"Show current anomaly volume, rate, severity, and key affected segment.",Use real anomaly evidence.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-09,EXEC,Executive Overview,"Show application, scoring, drift, alerts, and label readiness in one compact strip.",Separate local validation from managed production.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-10,EXEC,Executive Overview,Generate a concise decision summary from active filters and actual results.,No generic static paragraph.,"Package 2 focused suite: 31 passed; Python compilation passed; user visual QA accepted on 2026-06-30; see PACKAGE_02_FINAL_RECONCILIATION.md. Closure sprint implementation evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Existing verified project outputs,VERIFIED
SVE-EXEC-11,EXEC,Executive Overview,"Add clear links to investigate model, audience, forecasts, anomalies, and monitoring.",Reduce page-search effort.,EXCLUDED from the accepted Package 2 closure: the five investigation links were not visibly available in the rendered page. The user explicitly accepted this omission; revisit only as a later enhancement. Accepted exclusion retained: User accepted Package 2 without visible investigation links or executive CSV download; do not claim implementation. Evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py.,P1,Existing verified project outputs,EXCLUDED
SVE-EXEC-12,EXEC,Executive Overview,Provide an exportable filtered executive brief or summary table.,"Include timestamp, filters, assumptions, and limitations.",EXCLUDED from the accepted Package 2 closure: the executive brief CSV download was not visibly available in the rendered page. The user explicitly accepted this omission; revisit only as a later enhancement. Accepted exclusion retained: User accepted Package 2 without visible investigation links or executive CSV download; do not claim implementation. Evidence: app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py.,P1,Existing verified project outputs,EXCLUDED
SVE-SEG-01,SEG,Segmentation and Clustering,"Interactive PCA map with clusters, segment filters, hover detail, centroids, and explained variance.",Use deterministic sampling for dense data.,"PCA inputs, scale, variance, and sample size documented. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-02,SEG,Segmentation and Clustering,Interactive UMAP map for local visitor structure and boundary exploration.,Precompute embedding and seed; do not recompute on every page load.,Embedding manifest and reproducibility check. Condition retained: No approved UMAP embedding artifact exists; PCA remains the verified projection. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables.,P2,Segmentation outputs and precomputed embeddings,CONDITIONAL
SVE-SEG-03,SEG,Segmentation and Clustering,Compare normalized feature profiles across clusters.,Use business-friendly labels and explain scaling.,"Profile values reconcile with source. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-04,SEG,Segmentation and Clustering,"Show size, conversion rate, intent, cart behavior, anomaly rate, and value proxy by cluster.",Only include supported KPIs.,"Metric definitions and totals verified. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-05,SEG,Segmentation and Clustering,Compare selected clusters across a controlled set of comparable metrics.,Avoid unreadable many-axis radar charts; use bars when clearer.,"Visual choice justified and labels readable. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-06,SEG,Segmentation and Clustering,"Create evidence-based cluster personas with behavior, opportunity, risk, and recommended action.","Personas must derive from actual profiles, not invented stereotypes.","Persona generation logic and source values shown. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-07,SEG,Segmentation and Clustering,"Show silhouette, Davies-Bouldin, Calinski-Harabasz, size balance, and stability where available.",Explain that quality metrics do not alone prove business usefulness.,"Metric calculations tested. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-08,SEG,Segmentation and Clustering,Show boundary or assignment confidence where the method supports it.,Conditional for hard clustering without probabilities.,Honest unavailable state when unsupported. Condition retained: K-Means assignment confidence is not directly supported by the saved artifacts. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables.,P2,Segmentation outputs and precomputed embeddings,CONDITIONAL
SVE-SEG-09,SEG,Segmentation and Clustering,Show movement between segment snapshots when comparable time snapshots exist.,Conditional until repeatable segment snapshots exist.,Identity and time-grain validation. Condition retained: Comparable historical segment snapshots are not available. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables.,P2,Segmentation outputs and precomputed embeddings,CONDITIONAL
SVE-SEG-10,SEG,Segmentation and Clustering,Provide searchable visitor table for a selected cluster.,Default to useful business columns.,"Filtering and export verified. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-11,SEG,Segmentation and Clustering,"Map segments to campaign approach, retention action, investigation need, and expected value.","Actions must be rules or recommendations, not causal claims.","Action logic documented. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-SEG-12,SEG,Segmentation and Clustering,Export filtered cluster profiles and visitor assignments.,Include model/version and snapshot metadata.,"Download validation. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Segmentation outputs and precomputed embeddings,VERIFIED
SVE-KNN-01,KNN,Visitor Intent Predictor / Similarity,Search by visitor ID or select a visitor from filtered results.,Validate existence and show meaningful errors.,"Search and selection tests. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-02,KNN,Visitor Intent Predictor / Similarity,Build or load a cached scaled nearest-neighbor index using approved model features.,Feature order and scaling must match the documented similarity contract.,"Index manifest, feature list, and reproducibility test. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-03,KNN,Visitor Intent Predictor / Similarity,"Show nearest visitors, distance, intent, segment, anomaly status, and outcome evidence where available.",Do not imply causality from similarity.,"Distance ordering and row validation. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-04,KNN,Visitor Intent Predictor / Similarity,Compare selected visitor with neighbors on key features.,Use normalized and raw values with clear labels.,"Values reconcile. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-05,KNN,Visitor Intent Predictor / Similarity,Explain which features make two visitors similar or different.,Use transparent standardized-distance contributions.,"Contribution sum and sign logic tested. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-06,KNN,Visitor Intent Predictor / Similarity,"Show local score, segment, anomaly, and conversion-label composition.",Label availability must be explicit.,"Local counts verified. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-07,KNN,Visitor Intent Predictor / Similarity,Suggest business actions based on selected visitor and neighborhood patterns.,Recommendations must be rules-based and explainable.,"Rule tests and limitation text. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-08,KNN,Visitor Intent Predictor / Similarity,Allow neighbor count and feature-set selection within safe bounds.,Prevent unsupported or leakage-prone features.,"Boundary and contract tests. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-09,KNN,Visitor Intent Predictor / Similarity,Keep index loading and search responsive through caching and precomputation.,No full refit on every interaction.,"Search latency measured. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-KNN-10,KNN,Visitor Intent Predictor / Similarity,Export selected visitor and neighbor comparison with metadata.,Include feature definitions and distance method.,"Download review. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Canonical production features and cached nearest-neighbor index,VERIFIED
SVE-BATCH-01,BATCH,Batch Scoring,"Improve upload diagnostics, schema feedback, row counts, and rejected-row explanations.",Preserve existing scoring workflow.,"Valid and invalid upload tests. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-02,BATCH,Batch Scoring,Interactive score histogram or density view with threshold and intent bands.,Display sample/full population context.,"Band totals and threshold verified. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
